domain,judge_flag,keywords,http30x,alexa,locate,registrar,email_suffix
icdtq.com,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.625,0.6001583531274742
95599ck.cn,2,0.5,0.5,11.500959692898272,0.5528488852188275,0.5,0.6001583531274742
xhpyh.com,3,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
ccdrs.cc,4,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
cots.com.cn,1,0.5,0.5,0.08976833976833977,0.5528488852188275,0.26618705035971224,0.6001583531274742
17fv.com,4,0.7,0.5,11.500959692898272,0.8159406414552417,0.6839080459770115,0.5647249190938511
baobei18.com,4,0.5,0.5,11.500959692898272,0.8159406414552417,0.7802912922218779,0.5
wg315app.com,2,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
ccbblt.com,2,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
ccdscs.cc,4,0.5,0.5,11.500959692898272,0.8159406414552417,0.5997782705099778,0.5647249190938511
95533aizccb.com,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.6839080459770115,0.5647249190938511
2015nian.com,4,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
cty.cn,1,0.5,0.5,11.500959692898272,0.5528488852188275,0.09933774834437085,0.5
youyudf.com,4,0.5,0.5,0.08976833976833977,0.8159406414552417,0.4428341384863124,0.5
cbcknc.cc,4,0.5,0.5,11.500959692898272,0.8159406414552417,0.5412371134020618,0.6001583531274742
sexidude.com,2,0.5,0.5,0.08976833976833977,0.5528488852188275,0.5,0.5
xn--vhqqb63pevhlz2a.net,4,0.5,0.5,0.08976833976833977,0.8159406414552417,0.563412759415834,0.5
shenzhenair.com,1,0.5,0.5,0.08976833976833977,0.8159406414552417,0.25210084033613445,0.5
wrfet.com,4,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
wrfut.com,4,0.5,0.5,11.500959692898272,0.5528488852188275,0.7802912922218779,0.5
95533fx.cc,2,0.5,0.5,11.500959692898272,0.8159406414552417,0.563412759415834,0.5647249190938511
